"Austin, TX";"Longitude=97°48'48""West";"Latitude=+30°17'44""";"Time zone=CST"
"Moon";"Date Coord.";"";"";"";"";"";"";"";"";""
"4h30m UT";"RA";"DE";"Magn.";"Diam.";"Illum.";"Rise";"Culmination";"Set";"Az";"Alt"
"2021-05-20";" 10h29m23.9s";"+14°32'22""";"-10.2";"1900.6";"0.54";" 14h12m";" 20h53m";"  2h51m";"+262°47'";"+41°17'"
"2021-05-21";" 11h20m59.3s";"+09°18'27""";"-10.7";"1933.5";"0.65";" 15h16m";" 21h42m";"  3h26m";"+247°51'";"+48°29'"
"2021-05-22";" 12h12m37.9s";"+03°24'01""";"-11.0";"1965.7";"0.75";" 16h20m";" 22h31m";"  4h00m";"+228°11'";"+53°14'"
"2021-05-23";" 13h05m14.5s";"-02°54'18""";"-11.3";"1994.1";"0.85";" 17h28m";" 23h23m";"  4h34m";"+205°01'";"+54°05'"
"2021-05-24";" 13h59m51.2s";"-09°15'16""";"-11.7";"2015.7";"0.92";" 18h37m";"      ";"  5h11m";"+182°40'";"+50°26'"
"2021-05-25";" 14h57m26.1s";"-15°12'45""";"-12.2";"2027.2";"0.98";" 19h50m";"  0h18m";"  5h52m";"+164°28'";"+43°08'"
"2021-05-26";" 15h58m32.3s";"-20°17'05""";"-12.6";"2026.8";"1.00";" 21h04m";"  1h17m";"  6h38m";"+150°27'";"+33°37'"
"2021-05-27";" 17h02m52.1s";"-23°59'16""";"-12.4";"2014.1";"0.99";" 22h14m";"  2h19m";"  7h31m";"+139°19'";"+22°58'"
"2021-05-28";" 18h08m58.9s";"-25°57'51""";"-12.0";"1990.8";"0.96";" 23h20m";"  3h23m";"  8h31m";"+129°54'";"+11°59'"
"2021-05-29";" 19h14m32.8s";"-26°05'26""";"-11.6";"1959.6";"0.89";"      ";"  4h27m";"  9h36m";"+121°19'";"+01°22'"
"2021-05-30";" 20h17m13.5s";"-24°30'18""";"-11.2";"1924.1";"0.81";"  0h15m";"  5h27m";" 10h42m";"+112°57'";"-08°51'"
"2021-05-31";" 21h15m33.4s";"-21°31'49""";"-10.9";"1887.6";"0.72";"  1h03m";"  6h23m";" 11h47m";"+104°17'";"-18°41'"
"2021-06-01";" 22h09m12.9s";"-17°32'52""";"-10.5";"1852.9";"0.62";"  1h43m";"  7h13m";" 12h48m";"+94°50'";"-27°36'"
"2021-06-02";" 22h58m43.0s";"-12°54'28""";"-10.0";"1822.0";"0.51";"  2h17m";"  7h59m";" 13h47m";"+84°08'";"-35°24'"
"2021-06-03";" 23h45m00.2s";"-07°53'34""";"-9.6";"1796.0";"0.41";"  2h48m";"  8h42m";" 14h42m";"+71°41'";"-41°47'"
"2021-06-04";"  0h29m08.6s";"-02°43'17""";"-9.1";"1775.4";"0.32";"  3h17m";"  9h24m";" 15h37m";"+57°16'";"-46°26'"
"2021-06-05";"  1h12m10.9s";"+02°25'58""";"-8.6";"1760.5";"0.23";"  3h45m";" 10h04m";" 16h30m";"+41°09'";"-48°56'"
"2021-06-06";"  1h55m04.8s";"+07°25'08""";"-8.0";"1750.9";"0.16";"  4h13m";" 10h45m";" 17h24m";"+24°23'";"-49°05'"
"2021-06-07";"  2h38m42.1s";"+12°05'27""";"-7.2";"1746.4";"0.09";"  4h43m";" 11h27m";" 18h17m";"+08°23'";"-46°56'"
"2021-06-08";"  3h23m46.3s";"+16°17'40""";"-5.0";"1746.2";"0.05";"  5h15m";" 12h11m";" 19h13m";"+354°07'";"-42°52'"
"2021-06-09";"  4h10m49.2s";"+19°51'42""";"-1.4";"1750.1";"0.01";"  5h51m";" 12h57m";" 20h08m";"+341°46'";"-37°22'"
"2021-06-10";"  5h00m05.8s";"+22°36'53""";"0.0";"1757.6";"0.00";"  6h32m";" 13h46m";" 21h04m";"+331°06'";"-30°50'"
"2021-06-11";"  5h51m28.6s";"+24°22'48""";"0.0";"1768.2";"0.01";"  7h18m";" 14h37m";" 21h57m";"+321°40'";"-23°35'"
